reviewer,description,rating,review_date
Elisa Minguet Cardona,(Traducido por Google) Muy buena! Las clases de ángulos son magnificas,5.0,Hace 2 años
Lourdes Dominguez,(Traducido por Google) Espacio de crianza para los más pequeños y el personal muy amable …,5.0,Hace 2 años
Carlos Cañas,"(Traducido por Google) Una muy buen cae de transformación social del barrio de La Sagrera, adelante! …",5.0,Hace 3 años
Antoni Martinez Payet,(Traducido por Google) Es muy bueno que se haya recuperado por el barrio,5.0,Hace 3 años
Lilian Elizabeth Canté Barrientos,(Traducido por Google) Un buen espacio de encuentro.,4.0,Hace un año
Rosó Vicedo,(Traducido por Google) Fantástico !!!!,5.0,Hace 10 meses
Arnau Llurba,"(Traducido por Google) Gran equipo de profesionales, actividades y espacios!",5.0,Hace 2 años
Xavier Vera,(Traducido por Google) Exposiciones y charlas interesantes. Talleres originales. buena gestión …,4.0,Hace 2 años
lurain M,(Traducido por Google) Agradable Y variedad de actividades,5.0,Hace 2 años
Nela MG,(Traducido por Google) Nuevo centro cívico en el barrio,5.0,Hace 3 años
Gaspar Pedrerol,(Traducido por Google) Edificio muy bien restaurado.,4.0,Hace 3 años
Antoni Estévez Fresno (Toni),(Traducido por Google) Poco a poco va caminando,4.0,Hace 2 años
Aran Clemente,(Traducido por Google) bien,4.0,Hace 2 años
Encarna Godoy,,5.0,Hace 2 años
Mer Matalonga,,5.0,Hace 8 meses
Stella Maris Arotcarena,,5.0,Hace 4 meses
Víctor Batalla Huerta,,5.0,Hace 3 años
Laia Ruiz,,5.0,Hace un año
Carla Martinez,,5.0,Hace un año
Eduardo U,,3.0,Hace un año
Enrique Ruiz,,3.0,Hace 10 meses
Adelaida Miró Gabarró,,4.0,Hace 2 años
Panagiotis Sekouris,,1.0,Hace un año
Roger Gomu,,5.0,Hace un año
Benito Sanchez,,5.0,Hace un año
Santiago Valenciano,,4.0,Hace 2 años
Arandilla Rica Guerrero,,4.0,Hace un año
Carme Romero,,5.0,Hace un año
Ian Peix,,5.0,Hace un año
David García Del Moral,,3.0,Hace 3 años
Julio Jose Reillo,,4.0,Hace 2 años
Yo Soy Adrii,,5.0,Hace 2 años
Pablo Crucera Barrero,,5.0,Hace un año
Albert Ezquerra Merino,,5.0,Hace 2 años
Antoni F. ARAUJO,,1.0,Hace 3 años
Mariona Sala,,5.0,Hace 2 años
Bea Beza,,5.0,Hace 2 años
Jose Antonio Bayod Diaz,,4.0,Hace 9 meses
Julia Diez Alemany,,5.0,Hace 5 meses
JAN allicnam,,5.0,Hace 2 años
Peluqueria Ana Garcia,,4.0,Hace un año
Carlos,,4.0,Hace 2 años
Jose Luque,,4.0,Hace un año
Angel Bueno,,1.0,Hace 11 meses
Neus Franquesa Oliveres,,5.0,Hace un año
Joaquin velazquez,,3.0,Hace un año
Mari Carmen Martinez Moya,,5.0,Hace 8 meses
Soledad Alderete,,5.0,Hace un año
Montse Carmona,,4.0,Hace 2 años
Desideri Blanes Lledó,,5.0,Hace 2 años
Tedi Roca,,4.0,Hace 2 años
Agnès Bartolomé,,5.0,Hace 2 años
M. Carmen Catalan Piñol,,4.0,Hace 2 años
Guillem Pejó,,5.0,Hace 2 años
Juan Carlos Soler,,5.0,Hace 4 años
Anna Pérez,,5.0,Hace 2 años
DaVo Decapo,,4.0,Hace un año
antonio ladera,,2.0,Hace 8 meses
Mayte López Alavedra,,5.0,Hace 2 años
Sofia dulsura,,5.0,Hace 3 años
Andrea Domínguez,,5.0,Hace un año
Marisa Man,,4.0,Hace 3 años
Manuel Aragon,,3.0,Hace 3 años
Maria Todo,,5.0,Hace 4 meses
artur sobrín martín,,5.0,Hace 9 meses
Araujo Transports,,5.0,Hace 9 meses
Jan Jarauta,,5.0,Hace un año
Eduard Maura,,4.0,Hace un año
Xx_polps _xX,,1.0,Hace un año
Carme Senserrich,,5.0,Hace un año
Xavier Àgueda,,4.0,Hace 2 años
Elvira Juncosa,,4.0,Hace 2 años
David Pequeño,,5.0,Hace 3 años
GuiLLe (SaGreRa01),,5.0,Hace 2 años
Xavier Fontseca,,5.0,Hace 3 años
JaUmE MeStrEs MoLeS,,5.0,Hace un año
Juan,,3.0,Hace 2 años
joan llambi i riera,,4.0,Hace 11 meses
maria del pilar Murugo,,5.0,Hace 7 meses
Evarist Lacort,,4.0,Hace 2 años
mª --,,5.0,Hace un año
Nil Vera Sunyer,,5.0,Hace un año
Judit Lorita,,5.0,Hace 2 años
Arnau,,5.0,Hace un año
Lourdes Molina,,4.0,Hace 2 años
Agustí Carrillo Ortiz,,5.0,Hace 3 semanas
Alexis Ribe,,5.0,Hace 2 años
Mireia Moret,,3.0,Hace 2 años
Carlos Cañas,,5.0,Hace 2 años
LIBERTA Villasboa,,5.0,Hace 2 años
Kike Frieros,,4.0,Hace 2 meses
Joel Vera,,5.0,Hace 3 años
Bea A.,,5.0,Hace 3 años
Alba Cervera Lierta,,5.0,Hace 2 años
Miquel falip vilamajo,,3.0,Hace un año
Javier Vivas Gimenez,,1.0,Hace 2 años
Ricardo Del Pino Deulofeu,,3.0,Hace 2 años
Jordi Cervera Roc,,5.0,Hace 2 años
Francisco Javier Santamarina del Tor,,5.0,Hace un año
Palmira Santin,,4.0,Hace un año
elisa aroca benito,,5.0,Hace 2 años
Manel Melero,,5.0,Hace un año
Miquel Herrero Parareda,,5.0,Hace un año
Laia Vila,,5.0,Hace 2 años
Silvia Gutiérrez,,5.0,Hace 2 años
Roger Vilanova,,5.0,Hace un año
Gemma Guarch,,5.0,Hace un año
Elisabet Ramirez,,4.0,Hace 2 años
Manuel Ortega,,5.0,Hace 2 años
Margarita Arregui Mulet,,3.0,Hace un año
Asthewinter,,5.0,Hace 6 meses
Isabel Carrasco Canton,,4.0,Hace 2 años
DarnoC [ESP],,5.0,Hace 10 meses
Mayka Camps Gomis,,5.0,Hace un año
maria macianbarcelo,,5.0,Hace 3 años
Chrifa El haouity,,5.0,Hace un año
Alga Zara,,5.0,Hace un año
Antonio Casado,,3.0,Hace un año
Maria Rosa Ricart,,4.0,Hace un año
Eva Jorda Affonso,,5.0,Hace 2 años
Sergio Luis Da Silva,,5.0,Hace un año
JENNY QUIROZ,,5.0,Hace 2 años
Rosa Luis Rey,,5.0,Hace 11 meses
veronica ventura,,4.0,Hace 2 años
Ma Luz Piriz,,5.0,Hace 2 años
Eli Conesa,,3.0,Hace 3 años
Bea Frías Ramirez,,5.0,Hace un año
Eusebio Leal,,1.0,Hace 3 años
Carlos Zambrano,,3.0,Hace 2 años
Laura Fernandez,,4.0,Hace un año
Neus Morales,,5.0,Hace 3 años
Juli Toribio Carrillo,,4.0,Hace 2 años
Dafne Siles,,5.0,Hace 2 años
Roger Abuin,,4.0,Hace 2 años
Robert Salas,,4.0,Hace 3 años
ANGELES HERNANDEZ,,4.0,Hace 4 meses
gros boy,,5.0,Hace un año
Montse Alemany Belles,,5.0,Hace 2 años
Anna Burgueño,,5.0,Hace 2 años
Marta Recio,,5.0,Hace 8 meses
Dani Ripoll,,4.0,Hace 2 años
alfonso caro,,5.0,Hace 9 meses
Lourdes Prieto,,4.0,Hace 3 años
cristina Triviño Insa,,4.0,Hace 2 años
Nora Torné Vallès,,5.0,Hace 2 años
carlos celerico,,4.0,Hace 9 meses
Pablo Castro Sanchez,,3.0,Hace 8 meses
Rosario Bermejo Martin,,5.0,Hace un año
Marta Mateo,,5.0,Hace 2 años
javier marin,,4.0,Hace 2 años
Bruno Miarons,,5.0,Hace 2 años
IRENE RUBIÑÓ,,5.0,Hace 3 años
Yol Glez,,4.0,Hace 10 meses
Gemma Garcia Antiga,,4.0,Hace 2 años
Laura Valls,,5.0,Hace 11 meses
Lauro Corredoira Corredoira,,5.0,Hace 2 años
Carmen Salgado Poveda,,5.0,Hace un año
Lorena,,5.0,Hace 2 años
Adrián,,4.0,Hace un año
Celeste Anton,,4.0,Hace un año
Alicia Santacruz,,4.0,Hace 10 meses
Christian Silva,,5.0,Hace 8 meses
Carla Minguella,,5.0,Hace 3 años
Victor manuel Martinez oter,,3.0,Hace 2 años
Dani Baquero,,4.0,Hace 2 años
Cris ValenVal,,5.0,Hace 2 años
Marc Serrano,,3.0,Hace 2 años
Cristina Morros,,4.0,Hace un año
Verónica Martínez,,4.0,Hace 7 meses
Jaume Cebrian Carrillo de albornoz,,1.0,Hace 2 años
Sebastian Zaragoza,,5.0,Hace 2 años
Francisco Javier Gonzalez Aguilera,,5.0,Hace 2 años
Gonzalo,,5.0,Hace un año
Jaume Escofet,,5.0,Hace un año
Audelina Naharro Barreda,,1.0,Hace 5 meses
Teresa Sanchez Peiro,,4.0,Hace un año
Xavier Colomer Sanjuan,,5.0,Hace 2 años
alberto rueda,,5.0,Hace un año
FREDERIC BONACHE PUNZANO,,5.0,Hace 2 años
Carles Costas Bella,,4.0,Hace 8 meses
Sofia Megino,,5.0,Hace un año
Josep Carbonell Torreguitart,,4.0,Hace 2 años
Anna MP,,5.0,Hace 2 años
Ariana Jiménez,Un lugar emblemático del barrio de La Sagrera con infraestructura moderna y accesibilidad fácil. Es un espacio participativo con un montón de propuestas  culturales. El equipo directivo muy profesional y siempre con voluntad de ayudar a las personas y entidades del barrio.,5.0,Hace 2 meses
Antonio Jimenez,Muy guay..,3.0,Hace 2 semanas
manel castro,"Espacio cultural multiactividades, bonito y muy cuidado. Recomendable",4.0,Hace 3 meses
marta,"El concierto del persiana y los influences muertos ha sido divertido, interactivo e inmortal.. Repetiremos!!!! 💓",5.0,Hace 4 meses
Francisco Martinez Alejo,estupenda restauracion  y recuperacion de casa para uso dr los vecinos del barrio ademas cuenta con un refugio antiaereo en sus sotanos despues de muchas demandas al final la han restaurado.,5.0,Hace 3 años
rosa mª Escolano,"Es una casa recuperada por el Ayuntamiento y se usa como centro Cultural, con Sala de actos",4.0,Hace 3 meses
jose estape,Un lugar muy bonito tanto por fuera como por dentro un espacio bien ubicado y muy bien aprovechado,5.0,Hace 7 meses
Ascen GH,"Lo he visitado por vez primera en su aniversario... pasando la tarde viendo sus talleres y actividades, merendando y compartiendo un rato ameno",3.0,Hace 2 años
Emilio Hernández,"es un lugar donde realizan una labor social humanitaria, digna y necesaria en este mundo. Deberían darles premios y fondos para que exista para siempre. Gracias por el trabajo que hacéis.",5.0,Hace 11 meses
Jesus Sanchez,Muy buen trato,5.0,Hace 11 meses
